"year","number","name","seasonal.status","Municipality","total_docks","station.id","n_institutions_1km","n_mbta_1km","Lat","Long","population","month","avg_TMIN","avg_TMAX","avg_precip","total_trips","membership_total"
2020,"A32037","Washington St at Egremont Rd","Winter Storage","Boston",15,354,1,9,42.34286835,-71.14127841,675466,8,66.3,81.9,0.07,84,56
2020,"A32037","Washington St at Egremont Rd","Winter Storage","Boston",15,354,1,9,42.34286835,-71.14127841,675466,9,57.3,73.8,0.03,84,56
2020,"A32039","Bennington St at Constitution Beach","Year Round","Boston",17,355,0,5,42.38522394,-71.01063069,675466,6,60.6,77.8,0.09,68,26
2020,"A32039","Bennington St at Constitution Beach","Year Round","Boston",17,355,0,5,42.38522394,-71.01063069,675466,7,67.8,82.8,0.06,68,26
2020,"A32039","Bennington St at Constitution Beach","Year Round","Boston",17,355,0,5,42.38522394,-71.01063069,675466,8,66.3,81.9,0.07,68,26
2020,"A32039","Bennington St at Constitution Beach","Year Round","Boston",17,355,0,5,42.38522394,-71.01063069,675466,9,57.3,73.8,0.03,68,26
2020,"A32040","Honan Library","Year Round","Boston",15,376,0,11,42.3602737,-71.12852452,675466,6,60.6,77.8,0.09,83,59
2020,"A32040","Honan Library","Year Round","Boston",15,376,0,11,42.3602737,-71.12852452,675466,7,67.8,82.8,0.06,83,59
2020,"A32040","Honan Library","Year Round","Boston",15,376,0,11,42.3602737,-71.12852452,675466,8,66.3,81.9,0.07,83,59
2020,"A32040","Honan Library","Year Round","Boston",15,376,0,11,42.3602737,-71.12852452,675466,9,57.3,73.8,0.03,83,59
2020,"A32041","Central Square East Boston","Year Round","Boston",15,419,0,12,42.37544913,-71.03918549,675466,6,60.6,77.8,0.09,54,26
2020,"A32041","Central Square East Boston","Year Round","Boston",15,419,0,12,42.37544913,-71.03918549,675466,7,67.8,82.8,0.06,54,26
2020,"A32041","Central Square East Boston","Year Round","Boston",15,419,0,12,42.37544913,-71.03918549,675466,8,66.3,81.9,0.07,54,26
2020,"A32041","Central Square East Boston","Year Round","Boston",15,419,0,12,42.37544913,-71.03918549,675466,9,57.3,73.8,0.03,54,26
2020,"A32042","Surface Rd at Summer St","Year Round","Boston",27,426,7,36,42.3529457,-71.05656401,675466,6,60.6,77.8,0.09,84,55
2020,"A32042","Surface Rd at Summer St","Year Round","Boston",27,426,7,36,42.3529457,-71.05656401,675466,7,67.8,82.8,0.06,84,55
2020,"A32042","Surface Rd at Summer St","Year Round","Boston",27,426,7,36,42.3529457,-71.05656401,675466,8,66.3,81.9,0.07,84,55
2020,"A32042","Surface Rd at Summer St","Year Round","Boston",27,426,7,36,42.3529457,-71.05656401,675466,9,57.3,73.8,0.03,84,55
2020,"A32043","Western Ave at Richardson St","Winter Storage","Boston",19,428,0,8,42.36178741,-71.14393111,675466,6,60.6,77.8,0.09,80,56
2020,"A32043","Western Ave at Richardson St","Winter Storage","Boston",19,428,0,8,42.36178741,-71.14393111,675466,7,67.8,82.8,0.06,80,56
2020,"A32043","Western Ave at Richardson St","Winter Storage","Boston",19,428,0,8,42.36178741,-71.14393111,675466,8,66.3,81.9,0.07,80,56
2020,"A32043","Western Ave at Richardson St","Winter Storage","Boston",19,428,0,8,42.36178741,-71.14393111,675466,9,57.3,73.8,0.03,80,56
2020,"A32044","Maverick St at Massport Path","Year Round","Boston",15,436,0,13,42.36774122,-71.03335975,675466,6,60.6,77.8,0.09,51,25
2020,"A32044","Maverick St at Massport Path","Year Round","Boston",15,436,0,13,42.36774122,-71.03335975,675466,7,67.8,82.8,0.06,51,25
2020,"A32044","Maverick St at Massport Path","Year Round","Boston",15,436,0,13,42.36774122,-71.03335975,675466,8,66.3,81.9,0.07,51,25
2020,"A32044","Maverick St at Massport Path","Year Round","Boston",15,436,0,13,42.36774122,-71.03335975,675466,9,57.3,73.8,0.03,51,25
